Label,G,lldg,w,L,Weights
1,1000,0.225,0.175,4617,5.957656
2,1000,0.25,0.125,4654,4.769642
3,1000,0.25,0.1375,4837,7.474591
4,1000,0.25,0.15,5019,8.736819
5,1000,0.25,0.1675,5275,8.089062
6,1000,0.25,0.175,4566,4.471322
7,1000,0.25,0.175,5385,6.948388
8,1250,0.2,0.15,4502,10.5745
9,1250,0.2,0.1675,4808,10.21994
10,1250,0.2,0.175,4939,9.195139
11,1250,0.225,0.125,4906,8.656082
12,1250,0.225,0.1375,5095,11.33236
13,1250,0.225,0.15,4581,10.41022
14,1250,0.225,0.15,5284,12.56667
15,1250,0.225,0.1675,4759,9.624834
16,1250,0.225,0.1675,5549,11.87317
17,1250,0.225,0.175,4835,8.433888
18,1250,0.225,0.175,5662,10.70938
19,1250,0.25,0.125,4873,7.240936
20,1250,0.25,0.125,5746,9.589742
21,1250,0.25,0.1375,4996,9.727367
22,1250,0.25,0.1375,5906,12.04696
23,1250,0.25,0.15,5120,10.7953
24,1250,0.25,0.15,6066,13.07232
25,1250,0.25,0.1675,5293,9.90045
26,1250,0.25,0.1675,6290,12.10232
27,1250,0.25,0.175,5367,8.663656
28,1250,0.25,0.175,6386,10.8275
29,1500,0.15,0.1675,4518,8.889713
30,1500,0.15,0.175,4670,7.97305
31,1500,0.175,0.1375,4676,11.41489
32,1500,0.175,0.15,4900,12.8375
33,1500,0.175,0.1675,4525,10.22656
34,1500,0.175,0.1675,5215,12.38626
35,1500,0.175,0.175,4606,9.070382
36,1500,0.175,0.175,5350,11.31875
37,1500,0.2,0.125,4601,9.4909
38,1500,0.2,0.125,5247,11.478
39,1500,0.2,0.1375,4733,12.04023
40,1500,0.2,0.1375,5442,14.10519
41,1500,0.2,0.15,4864,13.16275
42,1500,0.2,0.15,5638,15.29048
43,1500,0.2,0.1675,5048,12.34472
44,1500,0.2,0.1675,5912,14.522
45,1500,0.2,0.175,5127,11.14044
46,1500,0.2,0.175,6029,13.32508
47,1500,0.225,0.125,5136,10.72875
48,1500,0.225,0.125,6042,12.91312
49,1500,0.225,0.1375,5264,13.19653
50,1500,0.225,0.1375,6209,15.33553
51,1500,0.225,0.15,5392,14.24167
52,1500,0.225,0.15,6375,16.32219
53,1500,0.225,0.1675,4534,10.2578
54,1500,0.225,0.1675,5571,13.31435
55,1500,0.225,0.1675,6608,15.29554
56,1500,0.225,0.175,4588,9.009128
57,1500,0.225,0.175,5648,12.06405
58,1500,0.225,0.175,6708,13.99537
59,1500,0.25,0.125,4503,7.402996
60,1500,0.25,0.125,5670,10.80305
61,1500,0.25,0.125,6838,12.84238
62,1500,0.25,0.1375,4615,9.897763
63,1500,0.25,0.1375,5795,13.19586
64,1500,0.25,0.1375,6975,15.10156
65,1500,0.25,0.15,4727,10.97374
66,1500,0.25,0.15,5920,14.1668
67,1500,0.25,0.15,7113,15.93662
68,1500,0.25,0.1675,4883,10.09403
69,1500,0.25,0.1675,6094,13.13546
70,1500,0.25,0.1675,7305,14.71036
71,1500,0.25,0.175,4950,8.86625
72,1500,0.25,0.175,6169,11.84122
73,1500,0.25,0.175,7387,13.32962
74,1750,0.1,0.175,4579,3.42838
75,1750,0.125,0.15,4694,9.690182
76,1750,0.125,0.1675,5058,9.449193
77,1750,0.125,0.175,5214,8.461602
78,1750,0.15,0.125,4925,9.802188
79,1750,0.15,0.1375,4514,10.56328
80,1750,0.15,0.1375,5156,12.59521
81,1750,0.15,0.15,4654,11.74464
82,1750,0.15,0.15,5387,13.92862
83,1750,0.15,0.1675,4849,10.99997
84,1750,0.15,0.1675,5711,13.34461
85,1750,0.15,0.175,4933,9.826756
86,1750,0.15,0.175,5849,12.2166
87,1750,0.175,0.125,4898,11.0313
88,1750,0.175,0.125,5676,13.14201
89,1750,0.175,0.1375,5034,13.5533
90,1750,0.175,0.1375,5878,15.70043
91,1750,0.175,0.15,5170,14.65055
92,1750,0.175,0.15,6080,16.8118
93,1750,0.175,0.1675,5360,13.79207
94,1750,0.175,0.1675,6363,15.93699
95,1750,0.175,0.175,5442,12.57082
96,1750,0.175,0.175,6484,14.69337
97,1750,0.2,0.125,5421,12.95438
98,1750,0.2,0.125,6427,15.04284
99,1750,0.2,0.1375,4508,12.29234
100,1750,0.2,0.1375,5554,15.39792
101,1750,0.2,0.1375,6600,17.40938
102,1750,0.2,0.15,4600,13.3125
103,1750,0.2,0.15,5686,16.4152
104,1750,0.2,0.15,6773,18.33974
105,1750,0.2,0.1675,4729,12.36465
106,1750,0.2,0.1675,5872,15.45018
107,1750,0.2,0.1675,7015,17.22926
108,1750,0.2,0.175,4784,11.10867
109,1750,0.2,0.175,5952,14.18285
110,1750,0.2,0.175,7119,15.89192
111,1750,0.225,0.125,4711,10.43374
112,1750,0.225,0.125,5945,13.73099
113,1750,0.225,0.125,7178,15.50466
114,1750,0.225,0.1375,4825,12.91156
115,1750,0.225,0.1375,6074,16.09714
116,1750,0.225,0.1375,7322,17.72203
117,1750,0.225,0.15,4940,13.9732
118,1750,0.225,0.15,6203,17.0404
119,1750,0.225,0.15,7466,18.51242
120,1750,0.225,0.1675,5099,13.06897
121,1750,0.225,0.1675,6383,15.96953
122,1750,0.225,0.1675,7667,17.22143
123,1750,0.225,0.175,5168,11.83239
124,1750,0.225,0.175,6461,14.65824
125,1750,0.225,0.175,7754,15.81224
126,1750,0.25,0.125,5007,10.05098
127,1750,0.25,0.125,6468,13.35649
128,1750,0.25,0.125,7929,14.52748
129,1750,0.25,0.1375,5143,12.55815
130,1750,0.25,0.1375,6594,15.65096
131,1750,0.25,0.1375,8044,16.63841
132,1750,0.25,0.15,5279,13.64058
133,1750,0.25,0.15,6719,16.52202
134,1750,0.25,0.15,8159,17.32986
135,1750,0.25,0.1675,5470,12.76392
136,1750,0.25,0.1675,6895,15.35386
137,1750,0.25,0.1675,8320,15.91317
138,1750,0.25,0.175,5552,11.53365
139,1750,0.25,0.175,6970,13.99955
140,1750,0.25,0.175,8389,14.45434
141,2000,0.1,0.125,4781,4.73652
142,2000,0.1,0.1375,5048,7.669723
143,2000,0.1,0.15,5314,9.122702
144,2000,0.1,0.1675,4695,5.890362
145,2000,0.1,0.1675,5687,8.67689
146,2000,0.1,0.175,4784,4.746172
147,2000,0.1,0.175,5847,7.599796
148,2000,0.125,0.125,4706,7.554782
149,2000,0.125,0.125,5488,9.824928
150,2000,0.125,0.1375,4850,10.12813
151,2000,0.125,0.1375,5725,12.50156
152,2000,0.125,0.15,4994,11.27448
153,2000,0.125,0.15,5963,13.71782
154,2000,0.125,0.1675,5195,10.48036
155,2000,0.125,0.1675,6295,12.96086
156,2000,0.125,0.175,5282,9.286238
157,2000,0.125,0.175,6438,11.76008
158,2000,0.15,0.125,5218,11.29774
