X1,X2,RawWT
-1,-1,44.92
-1,-0.9,43.6657
-1,-0.8,42.2308
-1,-0.7,40.6153
-1,-0.6,38.8192
-1,-0.5,36.8425
-1,-0.4,34.6852
-1,-0.3,32.3473
-1,-0.2,29.8288
-1,-0.1,27.1297
-1,0,24.25
-1,0.1,21.1897
-1,0.2,17.9488
-1,0.3,14.5273
-1,0.4,10.9252
-1,0.5,7.1425
-1,0.6,3.1792
-1,0.7,-0.9647
-1,0.8,-5.2892
-1,0.9,-9.7943
-1,1,-14.48
-0.9,-1,45.4153
-0.9,-0.9,44.2192
-0.9,-0.8,42.8425
-0.9,-0.7,41.2852
-0.9,-0.6,39.5473
-0.9,-0.5,37.6288
-0.9,-0.4,35.5297
-0.9,-0.3,33.25
-0.9,-0.2,30.7897
-0.9,-0.1,28.1488
-0.9,0,25.3273
-0.9,0.1,22.3252
-0.9,0.2,19.1425
-0.9,0.3,15.7792
-0.9,0.4,12.2353
-0.9,0.5,8.5108
-0.9,0.6,4.6057
-0.9,0.7,0.52
-0.9,0.8,-3.7463
-0.9,0.9,-8.1932
-0.9,1,-12.8207
-0.8,-1,45.8852
-0.8,-0.9,44.7473
-0.8,-0.8,43.4288
-0.8,-0.7,41.9297
-0.8,-0.6,40.25
-0.8,-0.5,38.3897
-0.8,-0.4,36.3488
-0.8,-0.3,34.1273
-0.8,-0.2,31.7252
-0.8,-0.1,29.1425
-0.8,0,26.3792
-0.8,0.1,23.4353
-0.8,0.2,20.3108
-0.8,0.3,17.0057
-0.8,0.4,13.52
-0.8,0.5,9.8537
-0.8,0.6,6.0068
-0.8,0.7,1.9793
-0.8,0.8,-2.2288
-0.8,0.9,-6.6175
-0.8,1,-11.1868
-0.7,-1,46.3297
-0.7,-0.9,45.25
-0.7,-0.8,43.9897
-0.7,-0.7,42.5488
-0.7,-0.6,40.9273
-0.7,-0.5,39.1252
-0.7,-0.4,37.1425
-0.7,-0.3,34.9792
-0.7,-0.2,32.6353
-0.7,-0.1,30.1108
-0.7,0,27.4057
-0.7,0.1,24.52
-0.7,0.2,21.4537
-0.7,0.3,18.2068
-0.7,0.4,14.7793
-0.7,0.5,11.1712
-0.7,0.6,7.3825
-0.7,0.7,3.4132
-0.7,0.8,-0.7367
-0.7,0.9,-5.0672
-0.7,1,-9.5783
-0.6,-1,46.7488
-0.6,-0.9,45.7273
-0.6,-0.8,44.5252
-0.6,-0.7,43.1425
-0.6,-0.6,41.5792
-0.6,-0.5,39.8353
-0.6,-0.4,37.9108
-0.6,-0.3,35.8057
-0.6,-0.2,33.52
-0.6,-0.1,31.0537
-0.6,0,28.4068
-0.6,0.1,25.5793
-0.6,0.2,22.5712
-0.6,0.3,19.3825
-0.6,0.4,16.0132
-0.6,0.5,12.4633
-0.6,0.6,8.7328
-0.6,0.7,4.8217
-0.6,0.8,0.73
-0.6,0.9,-3.5423
-0.6,1,-7.9952
-0.5,-1,47.1425
-0.5,-0.9,46.1792
-0.5,-0.8,45.0353
-0.5,-0.7,43.7108
-0.5,-0.6,42.2057
-0.5,-0.5,40.52
-0.5,-0.4,38.6537
-0.5,-0.3,36.6068
-0.5,-0.2,34.3793
-0.5,-0.1,31.9712
-0.5,0,29.3825
-0.5,0.1,26.6132
-0.5,0.2,23.6633
-0.5,0.3,20.5328
-0.5,0.4,17.2217
-0.5,0.5,13.73
-0.5,0.6,10.0577
-0.5,0.7,6.2048
-0.5,0.8,2.1713
-0.5,0.9,-2.0428
-0.5,1,-6.4375
-0.4,-1,47.5108
-0.4,-0.9,46.6057
-0.4,-0.8,45.52
-0.4,-0.7,44.2537
-0.4,-0.6,42.8068
-0.4,-0.5,41.1793
-0.4,-0.4,39.3712
-0.4,-0.3,37.3825
-0.4,-0.2,35.2132
-0.4,-0.1,32.8633
-0.4,0,30.3328
-0.4,0.1,27.6217
-0.4,0.2,24.73
-0.4,0.3,21.6577
-0.4,0.4,18.4048
-0.4,0.5,14.9713
-0.4,0.6,11.3572
-0.4,0.7,7.5625
-0.4,0.8,3.5872
-0.4,0.9,-0.5687
-0.4,1,-4.9052
-0.3,-1,47.8537
-0.3,-0.9,47.0068
-0.3,-0.8,45.9793
-0.3,-0.7,44.7712
-0.3,-0.6,43.3825
-0.3,-0.5,41.8132
-0.3,-0.4,40.0633
-0.3,-0.3,38.1328
-0.3,-0.2,36.0217
-0.3,-0.1,33.73
-0.3,0,31.2577
-0.3,0.1,28.6048
-0.3,0.2,25.7713
-0.3,0.3,22.7572
-0.3,0.4,19.5625
-0.3,0.5,16.1872
-0.3,0.6,12.6313
-0.3,0.7,8.8948
-0.3,0.8,4.9777
-0.3,0.9,0.88
-0.3,1,-3.3983
-0.2,-1,48.1712
-0.2,-0.9,47.3825
-0.2,-0.8,46.4132
-0.2,-0.7,45.2633
-0.2,-0.6,43.9328
-0.2,-0.5,42.4217
-0.2,-0.4,40.73
-0.2,-0.3,38.8577
-0.2,-0.2,36.8048
-0.2,-0.1,34.5713
-0.2,0,32.1572
-0.2,0.1,29.5625
-0.2,0.2,26.7872
-0.2,0.3,23.8313
-0.2,0.4,20.6948
-0.2,0.5,17.3777
-0.2,0.6,13.88
-0.2,0.7,10.2017
-0.2,0.8,6.3428
-0.2,0.9,2.3033
-0.2,1,-1.9168
-0.1,-1,48.4633
-0.1,-0.9,47.7328
-0.1,-0.8,46.8217
-0.1,-0.7,45.73
-0.1,-0.6,44.4577
-0.1,-0.5,43.0048
-0.1,-0.4,41.3713
-0.1,-0.3,39.5572
-0.1,-0.2,37.5625
-0.1,-0.1,35.3872
-0.1,0,33.0313
-0.1,0.1,30.4948
-0.1,0.2,27.7777
-0.1,0.3,24.88
-0.1,0.4,21.8017
-0.1,0.5,18.5428
-0.1,0.6,15.1033
-0.1,0.7,11.4832
-0.1,0.8,7.6825
-0.1,0.9,3.7012
-0.1,1,-0.4607
0,-1,48.73
0,-0.9,48.0577
0,-0.8,47.2048
0,-0.7,46.1713
0,-0.6,44.9572
0,-0.5,43.5625
0,-0.4,41.9872
0,-0.3,40.2313
0,-0.2,38.2948
0,-0.1,36.1777
0,0,33.88
0,0.1,31.4017
0,0.2,28.7428
0,0.3,25.9033
0,0.4,22.8832
0,0.5,19.6825
0,0.6,16.3012
0,0.7,12.7393
0,0.8,8.9968
0,0.9,5.0737
0,1,0.97
0.1,-1,48.9713
0.1,-0.9,48.3572
